"","Name","cluster"
"523","2-Hydroxy-3-methylvalerate",1.14937
"524","2-Hydroxy-3-methylvalerate",1.14937
"525","2-Hydroxy-3-methylvalerate",1.14937
"526","2-Hydroxy-3-methylvalerate",1.14937
"527","2-Hydroxy-3-methylvalerate",1.14937
"528","2-Hydroxy-3-methylvalerate",1.14937
"529","2-Hydroxy-3-methylvalerate",1.14937
"530","2-Hydroxy-3-methylvalerate",1.14937
"531","2-Hydroxy-3-methylvalerate",1.14937
"532","2-Hydroxy-3-methylvalerate",1.14937
"533","2-Hydroxy-3-methylvalerate",1.14937
"534","2-Hydroxy-3-methylvalerate",1.14937
"535","2-Hydroxy-3-methylvalerate",1.14937
"536","2-Hydroxy-3-methylvalerate",1.14937
"537","2-Hydroxy-3-methylvalerate",1.35144
"538","2-Hydroxy-3-methylvalerate",1.35144
"539","2-Hydroxy-3-methylvalerate",1.35144
"540","2-Hydroxy-3-methylvalerate",1.35144
"541","2-Hydroxy-3-methylvalerate",1.35144
"542","2-Hydroxy-3-methylvalerate",1.35144
"543","2-Hydroxy-3-methylvalerate",1.35144
"544","2-Hydroxy-3-methylvalerate",1.35144
"545","2-Hydroxy-3-methylvalerate",1.35144
"546","2-Hydroxy-3-methylvalerate",1.35144
"547","2-Hydroxy-3-methylvalerate",1.35144
"548","2-Hydroxy-3-methylvalerate",1.35144
"549","2-Hydroxy-3-methylvalerate",1.35144
"550","2-Hydroxy-3-methylvalerate",1.35144
"551","2-Hydroxy-3-methylvalerate",1.35144
"552","2-Hydroxy-3-methylvalerate",1.35144
"553","2-Hydroxy-3-methylvalerate",1.74838
"554","2-Hydroxy-3-methylvalerate",1.74838
"555","2-Hydroxy-3-methylvalerate",1.74838
"556","2-Hydroxy-3-methylvalerate",1.74838
"557","2-Hydroxy-3-methylvalerate",1.74838
"558","2-Hydroxy-3-methylvalerate",1.74838
"559","2-Hydroxy-3-methylvalerate",1.74838
"560","2-Hydroxy-3-methylvalerate",1.74838
"561","2-Hydroxy-3-methylvalerate",1.74838
"562","2-Hydroxy-3-methylvalerate",1.74838
"563","2-Hydroxy-3-methylvalerate",1.74838
"564","2-Hydroxy-3-methylvalerate",1.74838
"565","2-Hydroxy-3-methylvalerate",1.74838
"566","2-Hydroxy-3-methylvalerate",1.74838
"567","2-Hydroxy-3-methylvalerate",1.74838
"568","2-Hydroxy-3-methylvalerate",1.74838
"569","2-Hydroxy-3-methylvalerate",1.74838
"570","2-Hydroxy-3-methylvalerate",1.74838
"571","2-Hydroxy-3-methylvalerate",1.74838
"572","2-Hydroxy-3-methylvalerate",1.74838
"573","2-Hydroxy-3-methylvalerate",1.74838
"574","2-Hydroxy-3-methylvalerate",1.74838
"575","2-Hydroxy-3-methylvalerate",1.74838
"576","2-Hydroxy-3-methylvalerate",1.74838
"577","2-Hydroxy-3-methylvalerate",1.74838
"578","2-Hydroxy-3-methylvalerate",1.74838
"579","2-Hydroxy-3-methylvalerate",1.74838
"580","2-Hydroxy-3-methylvalerate",1.74838
"581","2-Hydroxy-3-methylvalerate",1.74838
"582","2-Hydroxy-3-methylvalerate",1.74838
"583","2-Hydroxy-3-methylvalerate",1.74838
"584","2-Hydroxy-3-methylvalerate",1.74838
"585","2-Hydroxy-3-methylvalerate",3.87204
"586","2-Hydroxy-3-methylvalerate",3.87204
"587","2-Hydroxybutyrate",0.88752
"588","2-Hydroxybutyrate",0.88752
"589","2-Hydroxybutyrate",0.88752
